time,open,high,low,close
2025-06-13 15:30:00,1.3529,1.35406,1.35271,1.35323
2025-06-13 15:45:00,1.35324,1.35334,1.35257,1.35332
2025-06-13 16:00:00,1.35331,1.35355,1.35156,1.35209
2025-06-13 16:15:00,1.35209,1.35274,1.35185,1.35251
2025-06-13 16:30:00,1.35252,1.35338,1.35207,1.35315
2025-06-13 16:45:00,1.35316,1.35417,1.35289,1.35403
2025-06-13 17:00:00,1.35393,1.35548,1.35378,1.35546
2025-06-13 17:15:00,1.35543,1.35583,1.3548,1.35556
2025-06-13 17:30:00,1.35555,1.35599,1.35505,1.35577
2025-06-13 17:45:00,1.35577,1.3575,1.35545,1.3574
2025-06-13 18:00:00,1.3574,1.35787,1.35724,1.3578
2025-06-13 18:15:00,1.35781,1.35948,1.3578,1.35928
2025-06-13 18:30:00,1.35927,1.36019,1.35925,1.35994
2025-06-13 18:45:00,1.35994,1.36,1.35894,1.35911
2025-06-13 19:00:00,1.35908,1.35953,1.35902,1.3591
2025-06-13 19:15:00,1.35909,1.36001,1.35907,1.35967
2025-06-13 19:30:00,1.35967,1.36002,1.35947,1.35967
2025-06-13 19:45:00,1.35967,1.35974,1.35897,1.35937
2025-06-13 20:00:00,1.35932,1.35932,1.35877,1.35886
2025-06-13 20:15:00,1.35885,1.35887,1.35801,1.35819
2025-06-13 20:30:00,1.35816,1.35824,1.35729,1.35734
2025-06-13 20:45:00,1.35734,1.35842,1.35724,1.35824
2025-06-13 21:00:00,1.35824,1.35852,1.35772,1.35774
2025-06-13 21:15:00,1.35777,1.35786,1.35696,1.35697
2025-06-13 21:30:00,1.35697,1.35726,1.35586,1.35616
2025-06-13 21:45:00,1.35616,1.35718,1.35606,1.35617
2025-06-13 22:00:00,1.35617,1.35648,1.35586,1.3564
2025-06-13 22:15:00,1.35639,1.35657,1.35576,1.35581
2025-06-13 22:30:00,1.3558,1.35639,1.35579,1.35618
2025-06-13 22:45:00,1.35618,1.35702,1.35595,1.35692
2025-06-13 23:00:00,1.35694,1.35697,1.35598,1.35633
2025-06-13 23:15:00,1.35632,1.35659,1.35613,1.35622
2025-06-13 23:30:00,1.35621,1.35694,1.35585,1.3569
2025-06-13 23:45:00,1.35689,1.35729,1.35649,1.35701
2025-06-16 00:00:00,1.35491,1.35704,1.35486,1.35557
2025-06-16 00:15:00,1.35557,1.3557,1.35423,1.35442
2025-06-16 00:30:00,1.35442,1.35446,1.35414,1.35431
2025-06-16 00:45:00,1.35431,1.355,1.35399,1.35399
2025-06-16 01:00:00,1.35478,1.35478,1.35364,1.35399
2025-06-16 01:15:00,1.35397,1.35482,1.35391,1.35477
2025-06-16 01:30:00,1.35477,1.35556,1.35466,1.35544
2025-06-16 01:45:00,1.35544,1.35601,1.35541,1.3555
2025-06-16 02:00:00,1.35556,1.35562,1.35452,1.35452
2025-06-16 02:15:00,1.35452,1.35491,1.35406,1.3548
